"name","full_name","clone_url","html_url","created_at","updated_at","language","size","stargazers_count","watchers_count","forks_count","topics","visibility","forks","open_issues","watchers"
"SPARC","SPARC-X/SPARC","https://github.com/SPARC-X/SPARC.git","https://github.com/SPARC-X/SPARC","2020-05-20T19:07:37Z","2022-10-08T22:28:20Z","C",28583,33,33,19,"['aimd', 'boundary-conditions', 'dft-calculations', 'easy-install', 'electronic-structure', 'finite-difference-method', 'hpc', 'kohn-sham', 'large-scale', 'massively-parallel', 'real-space', 'structural-optimization']","public",19,7,33
"nautilus","HExSA-Lab/nautilus","https://github.com/HExSA-Lab/nautilus.git","https://github.com/HExSA-Lab/nautilus","2018-08-03T01:53:57Z","2022-09-05T09:22:07Z","C",5870,31,31,50,"['aerokernel', 'hpc', 'hrt', 'hvm', 'hybrid-runtimes', 'kernel', 'nautilus', 'operating-system', 'os', 'supercomputing', 'unikernel', 'virtual-machine']","public",50,8,31
"MACSio","LLNL/MACSio","https://github.com/LLNL/MACSio.git","https://github.com/LLNL/MACSio","2015-08-13T19:13:14Z","2022-06-09T17:54:25Z","C",11450,30,30,15,"['hpc', 'io-benchmark', 'io-library', 'parallel-io', 'performance-testing', 'proxy-application', 'scientific-computing']","public",15,9,30
"cruise","LLNL/cruise","https://github.com/LLNL/cruise.git","https://github.com/LLNL/cruise","2013-09-12T00:36:31Z","2022-06-19T13:43:37Z","C",1866,28,28,7,"['checkpoint', 'checkpoint-restart', 'exascale-computing', 'file-system', 'hpc', 'parallel', 'parallel-computing', 'storage', 'system-software']","public",7,0,28
"libquo","lanl/libquo","https://github.com/lanl/libquo.git","https://github.com/lanl/libquo","2013-12-19T04:11:09Z","2022-10-06T04:25:28Z","C",12848,22,22,8,"['hardware-locality', 'hpc', 'hwloc', 'mpi', 'mpi-applications', 'mpi-plus-x', 'mpix', 'openmp', 'pthreads', 'threading']","public",8,6,22
"julea","julea-io/julea","https://github.com/julea-io/julea.git","https://github.com/julea-io/julea","2017-06-14T14:23:24Z","2022-05-25T07:22:42Z","C",5603,22,22,25,"['database-store', 'file-system', 'high-performance-computing', 'hpc', 'key-value-store', 'object-store', 'storage-framework', 'storage-system']","public",25,46,22
"gslib","Nek5000/gslib","https://github.com/Nek5000/gslib.git","https://github.com/Nek5000/gslib","2017-04-27T21:44:48Z","2022-09-16T14:20:25Z","C",1062,22,22,21,"['communication', 'hpc', 'mpi']","public",21,15,22
"Foundations_of_HPC_2021","Foundations-of-HPC/Foundations_of_HPC_2021","https://github.com/Foundations-of-HPC/Foundations_of_HPC_2021.git","https://github.com/Foundations-of-HPC/Foundations_of_HPC_2021","2021-09-21T13:06:22Z","2022-10-10T09:22:09Z","C",193050,20,20,26,"['hpc', 'hpc-applications', 'hpc-systems', 'mpi', 'openmp', 'parallel-computing', 'parallel-programming']","public",26,0,20
"h5bench","hpc-io/h5bench","https://github.com/hpc-io/h5bench.git","https://github.com/hpc-io/h5bench","2020-10-28T18:31:02Z","2022-07-29T08:34:17Z","C",1028,19,19,14,"['benchmark', 'hdf5', 'hpc']","public",14,5,19
"training-ay1819","ntuhpc/training-ay1819","https://github.com/ntuhpc/training-ay1819.git","https://github.com/ntuhpc/training-ay1819","2018-08-26T05:49:55Z","2022-05-14T17:29:23Z","C",13925,20,20,9,"['cuda', 'hpc', 'mpi', 'openmp', 'parallel-computing']","public",9,0,20
"titan2d","TITAN2D/titan2d","https://github.com/TITAN2D/titan2d.git","https://github.com/TITAN2D/titan2d","2015-04-23T16:57:11Z","2022-08-12T02:56:52Z","C",59241,17,17,15,"['amr', 'avalanche', 'digital-elevation-model', 'geophysical-fluid', 'hazard-assessment', 'hpc', 'landslide', 'shallow-water-equations', 'volcanology']","public",15,4,17
"miniBUDE","UoB-HPC/miniBUDE","https://github.com/UoB-HPC/miniBUDE.git","https://github.com/UoB-HPC/miniBUDE","2020-10-15T12:14:44Z","2022-08-23T17:05:10Z","C",20058,17,17,7,"['benchmark', 'hpc', 'performance-portability']","public",7,10,17
"gmt","pnnl/gmt","https://github.com/pnnl/gmt.git","https://github.com/pnnl/gmt","2018-05-08T20:56:13Z","2022-06-26T21:48:30Z","C",552,17,17,4,"['hpc', 'runtime']","public",4,7,17
"starpu","starpu-runtime/starpu","https://github.com/starpu-runtime/starpu.git","https://github.com/starpu-runtime/starpu","2022-01-13T16:12:45Z","2022-09-22T09:17:43Z","C",60447,17,17,3,"['hpc']","public",3,0,17
"HPL-AI","wu-kan/HPL-AI","https://github.com/wu-kan/HPL-AI.git","https://github.com/wu-kan/HPL-AI","2021-02-05T15:50:39Z","2022-09-14T06:04:28Z","C",1031,16,16,5,"['benchmarking', 'gmres', 'hpc', 'hpl', 'hpl-ai', 'linpack', 'mixed-precision', 'mpi', 'performance']","public",5,0,16
"hp2p","cea-hpc/hp2p","https://github.com/cea-hpc/hp2p.git","https://github.com/cea-hpc/hp2p","2017-02-15T13:54:08Z","2022-06-14T06:25:37Z","C",2386,16,16,8,"['benchmark', 'hpc', 'hpc-applications', 'mpi', 'network', 'network-analysis', 'parallel', 'parallel-computing', 'tool']","public",8,3,16
"mpibind","LLNL/mpibind","https://github.com/LLNL/mpibind.git","https://github.com/LLNL/mpibind","2020-07-22T00:28:33Z","2022-09-09T15:40:36Z","C",5261,13,13,7,"['gpu', 'hpc', 'linux', 'mpi', 'mpibind', 'openmp', 'parallel', 'parallel-computing', 'performance', 'portability', 'productivity', 'scientific-computing', 'system-software']","public",7,4,13
"PIDX","sci-visus/PIDX","https://github.com/sci-visus/PIDX.git","https://github.com/sci-visus/PIDX","2014-08-26T18:51:42Z","2022-09-21T08:01:32Z","C",6472,13,13,11,"['data-visualization', 'hpc', 'io', 'pidx']","public",11,6,13
"sos_flow","cdwdirect/sos_flow","https://github.com/cdwdirect/sos_flow.git","https://github.com/cdwdirect/sos_flow","2016-01-28T22:00:39Z","2022-02-24T06:52:39Z","C",35176,12,12,4,"['analytics', 'api', 'daemon', 'distributed-systems', 'hpc', 'hpc-systems', 'in', 'in-situ', 'introspection', 'linux', 'monitoring', 'performance', 'performance-analysis', 'runtime-daemon', 'service', 'sos', 'sos-flow', 'sql', 'steering', 'workflow']","public",4,11,12
"chatterbug","hpcgroup/chatterbug","https://github.com/hpcgroup/chatterbug.git","https://github.com/hpcgroup/chatterbug","2018-08-07T06:06:59Z","2022-07-20T12:42:19Z","C",463,10,10,1,"['hpc', 'proxy-application']","public",1,1,10
"vol-cache","hpc-io/vol-cache","https://github.com/hpc-io/vol-cache.git","https://github.com/hpc-io/vol-cache","2020-12-07T15:45:52Z","2022-09-20T21:57:39Z","C",3215,9,9,5,"['hpc', 'parallel-io']","public",5,2,9
"rindow-openblas","rindow/rindow-openblas","https://github.com/rindow/rindow-openblas.git","https://github.com/rindow/rindow-openblas","2020-02-04T07:50:06Z","2022-10-01T10:11:33Z","C",273,9,9,2,"['hpc', 'machine-learning', 'mathematics', 'openblas', 'php', 'php-extension', 'php-extensions', 'php8', 'scientific-computing']","public",2,1,9
"openPMD-visit-plugin","openPMD/openPMD-visit-plugin","https://github.com/openPMD/openPMD-visit-plugin.git","https://github.com/openPMD/openPMD-visit-plugin","2017-10-17T16:04:16Z","2021-11-18T22:28:38Z","C",319,8,8,4,"['community', 'hpc', 'openpmd', 'openscience', 'research', 'visit', 'visualization', 'vtk']","public",4,7,8
"Adiak","LLNL/Adiak","https://github.com/LLNL/Adiak.git","https://github.com/LLNL/Adiak","2019-10-02T22:23:05Z","2022-08-26T06:58:10Z","C",126,8,8,4,"['hpc']","public",4,1,8
"pcvs-benchmarks","cea-hpc/pcvs-benchmarks","https://github.com/cea-hpc/pcvs-benchmarks.git","https://github.com/cea-hpc/pcvs-benchmarks","2020-03-02T08:08:59Z","2022-09-09T06:55:38Z","C",47052,7,7,0,"['hpc', 'test', 'validation']","public",0,0,7
"iotrace","nicolasgross/iotrace","https://github.com/nicolasgross/iotrace.git","https://github.com/nicolasgross/iotrace","2019-01-11T12:00:36Z","2022-10-03T21:06:30Z","C",258,7,7,2,"['analytics', 'high-performance-computing', 'hpc', 'input', 'output', 'profiling', 'ptrace', 'tracer']","public",2,1,7
"MPI-pattern-matching","arneish/MPI-pattern-matching","https://github.com/arneish/MPI-pattern-matching.git","https://github.com/arneish/MPI-pattern-matching","2019-04-17T23:14:39Z","2019-07-09T13:30:42Z","C",1446,7,7,0,"['c', 'cpp11', 'distributed-computing', 'distributed-systems', 'hpc', 'hpc-applications', 'mpi', 'mpi-applications', 'mpich', 'openmpi', 'parallel', 'parallel-programming', 'pattern-matching']","public",0,0,7
"rindow-opencl","rindow/rindow-opencl","https://github.com/rindow/rindow-opencl.git","https://github.com/rindow/rindow-opencl","2020-12-22T04:26:57Z","2022-10-01T10:09:45Z","C",98,7,7,1,"['gpgpu', 'gpu', 'hpc', 'machine-learning', 'mathematics', 'opencl', 'php', 'php-extension', 'php8']","public",1,0,7
"sc19-tutorial","supercontainers/sc19-tutorial","https://github.com/supercontainers/sc19-tutorial.git","https://github.com/supercontainers/sc19-tutorial","2019-07-08T15:47:19Z","2020-10-24T20:43:37Z","C",108270,6,6,2,"['containerization', 'containers', 'hpc', 'shifter', 'singularity', 'singularity-containers', 'tutorial']","public",2,1,6
"lsf-plugins","IBMSpectrumComputing/lsf-plugins","https://github.com/IBMSpectrumComputing/lsf-plugins.git","https://github.com/IBMSpectrumComputing/lsf-plugins","2017-08-18T13:00:28Z","2020-05-04T14:02:47Z","C",63,6,6,0,"['eauth', 'echkpnt', 'eexec', 'elim', 'erstart', 'esub', 'hpc', 'lsf', 'plugins']","public",0,1,6
"Inception","NCAR/Inception","https://github.com/NCAR/Inception.git","https://github.com/NCAR/Inception","2016-05-03T22:32:33Z","2022-01-24T06:06:34Z","C",28,6,6,2,"['container-runtime', 'containers', 'hpc']","public",2,8,6
"2DPartInt","eafit-apolo/2DPartInt","https://github.com/eafit-apolo/2DPartInt.git","https://github.com/eafit-apolo/2DPartInt","2019-04-10T13:59:57Z","2022-08-01T20:49:02Z","C",1226,6,6,0,"['civil-engineering', 'geomechanics', 'gpu', 'hpc', 'openacc']","public",0,7,6
"SigSRF_SDK","signalogic/SigSRF_SDK","https://github.com/signalogic/SigSRF_SDK.git","https://github.com/signalogic/SigSRF_SDK","2016-04-05T16:08:39Z","2022-01-08T10:48:23Z","C",1614097,6,6,2,"['ai-servers', 'ar', 'cloud', 'cocpu', 'codecs', 'cpu-cores', 'demo-application', 'evs', 'h264', 'hpc', 'streaming', 'video', 'voice']","public",2,0,6
"pbdBASE","RBigData/pbdBASE","https://github.com/RBigData/pbdBASE.git","https://github.com/RBigData/pbdBASE","2012-10-16T19:42:29Z","2021-10-27T16:08:33Z","C",5664,5,5,4,"['hpc', 'mpi', 'pbdr', 'r', 'scalapack']","public",4,2,5
"slurm-replay","eth-cscs/slurm-replay","https://github.com/eth-cscs/slurm-replay.git","https://github.com/eth-cscs/slurm-replay","2018-06-22T15:22:37Z","2022-09-15T16:52:17Z","C",342,5,5,0,"['hpc', 'replay', 'slurm']","public",0,0,5
"autoperf","HPCL/autoperf","https://github.com/HPCL/autoperf.git","https://github.com/HPCL/autoperf","2015-04-16T00:04:45Z","2022-03-24T08:30:17Z","C",2345,5,5,2,"['experiment-control', 'hpc', 'monitoring', 'performance']","public",2,20,5
"image-processing-graph-laplacian","David-Wobrock/image-processing-graph-laplacian","https://github.com/David-Wobrock/image-processing-graph-laplacian.git","https://github.com/David-Wobrock/image-processing-graph-laplacian","2017-10-20T14:39:52Z","2021-12-19T19:02:48Z","C",2912,5,5,1,"['hpc', 'image-processing', 'laplacian-matrix', 'petsc', 'slepc']","public",1,0,5
"2D-VTI-FD-RTM-mpich","Rtoax/2D-VTI-FD-RTM-mpich","https://github.com/Rtoax/2D-VTI-FD-RTM-mpich.git","https://github.com/Rtoax/2D-VTI-FD-RTM-mpich","2018-06-15T14:39:02Z","2022-06-01T05:23:23Z","C",836,5,5,1,"['adcigs', 'fd', 'hpc', 'mpi', 'rtm', 'vti']","public",1,0,5
"uvm-eval","tallendev/uvm-eval","https://github.com/tallendev/uvm-eval.git","https://github.com/tallendev/uvm-eval","2021-04-09T20:15:07Z","2022-03-11T22:11:32Z","C",140722,5,5,2,"['gpgpu', 'gpu-computing', 'hpc', 'uvm', 'virtual-memory']","public",2,0,5
"john","openwall/john","https://github.com/openwall/john.git","https://github.com/openwall/john","2011-12-16T19:43:47Z","2022-10-10T16:08:23Z","C",129457,6829,6829,1742,"['assembler', 'c', 'cracker', 'crypt', 'fpga', 'gpgpu', 'gpu', 'hash', 'john', 'jtr', 'mpi', 'opencl', 'openmp', 'password', 'ripper', 'simd']","public",1742,467,6829
"libtommath","libtom/libtommath","https://github.com/libtom/libtommath.git","https://github.com/libtom/libtommath","2010-06-16T18:46:26Z","2022-10-09T23:12:39Z","C",21480,532,532,172,"['c', 'libtommath', 'math', 'mpi', 'multi-precision']","public",172,37,532
"Kernels","ParRes/Kernels","https://github.com/ParRes/Kernels.git","https://github.com/ParRes/Kernels","2013-10-04T18:00:10Z","2022-10-08T05:21:25Z","C",14600,348,348,99,"['boost', 'c', 'c-plus-plus', 'charmplusplus', 'coarray-fortran', 'fortran2008', 'julia', 'kokkos', 'mpi', 'opencl', 'openmp', 'parallel-computing', 'parallel-programming', 'pgas', 'python3', 'shmem', 'sycl', 'tbb', 'threading', 'travis-ci']","public",99,28,348
"tomsfastmath","libtom/tomsfastmath","https://github.com/libtom/tomsfastmath.git","https://github.com/libtom/tomsfastmath","2010-07-22T08:12:38Z","2022-09-16T15:59:29Z","C",1724,188,188,61,"['c', 'math', 'mpi', 'tomsfastmath']","public",61,9,188
"matex","matex-org/matex","https://github.com/matex-org/matex.git","https://github.com/matex-org/matex","2016-03-07T22:32:44Z","2022-10-08T09:37:31Z","C",1146026,110,110,41,"['deeplearning', 'machine-learning', 'mnist', 'mpi', 'scale-systems', 'supercomputers']","public",41,6,110
"scr","LLNL/scr","https://github.com/LLNL/scr.git","https://github.com/LLNL/scr","2012-12-29T20:48:21Z","2022-09-29T21:18:04Z","C",306995,83,83,28,"['checkpoint', 'data-management', 'mpi', 'radiuss', 'scalable']","public",28,95,83
"adda","adda-team/adda","https://github.com/adda-team/adda.git","https://github.com/adda-team/adda","2015-08-12T07:43:50Z","2022-09-22T16:27:09Z","C",37811,73,73,49,"['adda', 'c99', 'dda', 'discrete-dipole-approximation', 'light-scattering', 'mpi', 'numerical-simulations', 'opencl', 'optics']","public",49,148,73
"splatt","ShadenSmith/splatt","https://github.com/ShadenSmith/splatt.git","https://github.com/ShadenSmith/splatt","2016-06-17T20:44:20Z","2022-09-21T16:21:37Z","C",15740,66,66,29,"['cpd', 'machine-learning', 'mpi', 'openmp', 'parallel', 'tensor']","public",29,4,66
"mpiP","LLNL/mpiP","https://github.com/LLNL/mpiP.git","https://github.com/LLNL/mpiP","2016-04-15T23:27:47Z","2022-09-27T12:12:28Z","C",1762,57,57,15,"['mpi']","public",15,14,57
"matrix_multiplication","mperlet/matrix_multiplication","https://github.com/mperlet/matrix_multiplication.git","https://github.com/mperlet/matrix_multiplication","2014-02-20T16:52:29Z","2022-09-26T18:13:51Z","C",11,42,42,13,"['c', 'matrices', 'matrix-multiplication', 'mpi', 'openmp', 'parallel-computing', 'pthreads', 'thread']","public",13,1,42
"fuzzball","fuzzball-muck/fuzzball","https://github.com/fuzzball-muck/fuzzball.git","https://github.com/fuzzball-muck/fuzzball","2015-05-29T12:27:05Z","2022-09-15T08:15:45Z","C",10813,38,38,26,"['fuzzball', 'fuzzball-muck', 'linux', 'mpi', 'muck', 'muf']","public",26,76,38
"mpiBench","LLNL/mpiBench","https://github.com/LLNL/mpiBench.git","https://github.com/LLNL/mpiBench","2017-09-15T18:13:11Z","2022-10-03T06:08:36Z","C",21,38,38,16,"['mpi', 'performance']","public",16,2,38
"Recorder","uiuc-hpc/Recorder","https://github.com/uiuc-hpc/Recorder.git","https://github.com/uiuc-hpc/Recorder","2019-05-04T21:33:50Z","2022-07-31T20:35:41Z","C",16608,32,32,8,"['hdf5', 'hpc-applications', 'mpi', 'posix', 'tracing', 'visualization']","public",8,1,32
"sboxgates","dansarie/sboxgates","https://github.com/dansarie/sboxgates.git","https://github.com/dansarie/sboxgates","2017-01-18T02:15:48Z","2022-09-30T13:53:34Z","C",400,30,30,15,"['cryptanalysis', 'cuda', 'logic-circuit', 'mpi']","public",15,2,30
"parallel-programming","imsure/parallel-programming","https://github.com/imsure/parallel-programming.git","https://github.com/imsure/parallel-programming","2014-10-29T22:52:34Z","2022-09-17T04:28:55Z","C",240,26,26,12,"['c', 'mpi', 'openmp', 'parallel-programming', 'pthreads']","public",12,1,26
"PnMPI","LLNL/PnMPI","https://github.com/LLNL/PnMPI.git","https://github.com/LLNL/PnMPI","2010-10-17T04:54:06Z","2022-08-03T14:14:40Z","C",1498,21,21,11,"['mpi']","public",11,7,21
"parallel-convolution","jimouris/parallel-convolution","https://github.com/jimouris/parallel-convolution.git","https://github.com/jimouris/parallel-convolution","2015-10-06T09:03:43Z","2022-06-12T14:06:26Z","C",21003,23,23,13,"['blur-filter', 'cuda', 'image-convolution', 'image-processing', 'mpi', 'mpi-library', 'parallel-processing']","public",13,0,23
"mpimemu","hpc/mpimemu","https://github.com/hpc/mpimemu.git","https://github.com/hpc/mpimemu","2011-09-07T20:06:14Z","2022-07-26T01:53:49Z","C",4393,17,17,7,"['benchmark', 'memory', 'mpi']","public",7,7,17
"nbody-simulation","dileban/nbody-simulation","https://github.com/dileban/nbody-simulation.git","https://github.com/dileban/nbody-simulation","2017-11-17T12:41:08Z","2022-10-04T05:30:05Z","C",22,16,16,12,"['distributed-systems', 'mpi']","public",12,0,16
"selFIe","cea-hpc/selFIe","https://github.com/cea-hpc/selFIe.git","https://github.com/cea-hpc/selFIe","2017-02-15T13:56:58Z","2022-09-09T06:58:34Z","C",188,16,16,4,"['light-profiling-engine', 'linux', 'mpi', 'papi', 'profile', 'profiling', 'selfie']","public",4,5,16
"StarNEig","NLAFET/StarNEig","https://github.com/NLAFET/StarNEig.git","https://github.com/NLAFET/StarNEig","2019-04-27T11:31:14Z","2022-10-06T11:58:09Z","C",29199,14,14,0,"['distributed-memory', 'eigenvalueproblems', 'eigenvalues', 'eigenvectors', 'gpu', 'hessenberg', 'hessenberg-forms', 'hessenberg-reduction', 'library', 'mpi', 'nlafet', 'parallel-computing', 'qz-algorithm', 'schur-decomposition', 'schur-form', 'schur-reduction', 'shared-memory', 'starpu', 'task-based']","public",0,0,14
"ParallelProgrammingCourse","yangyang14641/ParallelProgrammingCourse","https://github.com/yangyang14641/ParallelProgrammingCourse.git","https://github.com/yangyang14641/ParallelProgrammingCourse","2018-03-07T15:36:14Z","2021-12-24T15:36:29Z","C",42939,13,13,8,"['computer-system', 'homeworks', 'mpi', 'openmp', 'parallel-algorithm', 'parallel-framework', 'parallel-programming', 'peking-university', 'performance-analysis', 'performance-tuning', 'performance-visualization', 'pthreads']","public",8,0,13
